method,horizon,n_obs,rmse,mae,smape,f1_rain,rmse_p95,mae_p95
baseline,1,730,8.027132899946743,4.932839319137092,154.05906005340177,0.6342648845686513,35.690215111368474,33.713052629791996
fixed_radius,1,730,8.05363518367703,4.888913416850158,153.30515767350758,0.6431181485992692,35.91435361054074,33.907645948677775
upwind_dynamic,1,730,7.9853448909726765,4.849306863707972,153.53910570907806,0.6383495145631067,35.94327444367452,34.08458341406025
baseline,2,729,8.06488233837603,4.943223323838193,154.2595976996021,0.6290516206482594,35.96696070639048,34.25345854073961
fixed_radius,2,729,8.138250119239345,4.852429779713328,153.01848415573662,0.6382460414129111,36.58236479105273,34.81284698691883
upwind_dynamic,2,729,8.076285193736807,4.865279195252364,153.81461953978683,0.6284348864994026,36.31815210208022,34.80078225629003
baseline,3,728,8.18869317508678,4.999318347783339,155.58845000547055,0.6103286384976526,36.216196595077115,34.64685928186858
fixed_radius,3,728,8.172062065331376,4.97910494686924,155.50604611265356,0.6141176470588235,36.12805570271615,34.624712472740974
upwind_dynamic,3,728,8.095296366032915,4.885661783228298,155.7192473646318,0.605568445475638,35.967444770669864,34.4542509247255
